x1,y1,z1,x2,y2,z2
-1.877,-3.097,60.786,-2.979,-3.413,60.789
7.964,-3.051,58.344,6.958,-3.277,58.241
-0.867,-3.289,65.817,-2.043,-3.475,65.850
4.432,-3.234,62.806,3.322,-3.455,62.748
7.493,-3.065,58.975,6.519,-3.303,58.810
6.876,-3.069,59.708,5.856,-3.307,59.613
3.432,-3.085,61.898,2.419,-3.352,61.834
1.419,-2.747,57.720,0.406,-3.033,57.613
0.081,-2.973,60.828,-0.980,-3.316,60.782
3.597,-2.911,58.633,2.590,-3.220,58.527
2.859,-2.636,57.454,1.811,-2.956,57.371
-2.688,-3.121,65.694,-3.829,-3.320,65.753
-0.988,-3.089,64.515,-2.107,-3.257,64.541
7.949,-2.798,57.526,6.907,-3.044,57.406
9.726,-2.753,56.897,8.693,-2.983,56.920
-0.109,-2.944,63.136,-1.164,-3.193,63.136
2.624,-2.789,58.932,1.579,-3.110,58.848
5.491,-2.914,60.989,4.475,-3.164,60.895
6.857,-2.745,58.759,5.830,-2.961,58.645
6.394,-2.769,57.604,5.394,-3.005,57.519
-3.220,-2.810,62.595,-4.294,-2.997,62.625
8.103,-2.634,56.855,7.079,-2.897,56.752
-1.316,-2.917,64.948,-2.441,-3.149,65.016
-1.026,-2.743,61.612,-2.100,-3.029,61.504
4.409,-2.542,56.341,3.277,-2.863,56.320
5.424,-2.710,60.472,4.405,-2.920,60.398
4.516,-2.533,59.158,3.493,-2.821,59.049
-2.458,-2.602,61.813,-3.537,-2.791,61.726
6.734,-2.332,56.594,5.662,-2.583,56.580
-3.413,-2.522,65.146,-4.498,-2.677,65.160
-3.342,-2.602,65.733,-4.465,-2.715,65.700
5.577,-2.430,58.732,4.581,-2.720,58.683
-1.431,-2.478,61.290,-2.569,-2.724,61.210
7.550,-2.376,60.868,6.507,-2.628,60.757
8.007,-2.246,56.954,6.972,-2.465,56.974
-1.812,-2.439,64.807,-2.872,-2.633,65.042
3.979,-2.253,58.280,2.953,-2.617,58.174
3.777,-2.376,63.115,2.699,-2.617,63.113
5.587,-2.363,62.280,4.507,-2.590,62.110
1.764,-2.436,65.843,0.677,-2.677,65.738
4.481,-2.246,61.215,3.395,-2.486,61.127
6.507,-2.217,59.913,5.467,-2.448,59.784
0.308,-2.235,63.107,-0.796,-2.481,63.033
1.169,-2.167,65.618,0.132,-2.345,65.793
2.074,-2.130,59.016,1.036,-2.440,58.956
5.149,-2.323,64.456,4.068,-2.620,64.273
4.929,-2.055,62.710,3.823,-2.328,62.526
2.830,-2.045,58.712,1.724,-2.387,58.667
-2.720,-2.123,66.139,-3.798,-2.222,66.091
-3.533,-2.163,63.578,-4.671,-2.334,63.558
-2.161,-2.283,66.482,-3.281,-2.404,66.573
5.687,-1.968,57.720,4.675,-2.254,57.666
-2.704,-2.077,62.599,-3.811,-2.282,62.650
-0.835,-2.162,67.271,-2.005,-2.257,67.365
7.158,-2.059,62.120,6.150,-2.244,62.083
7.738,-1.938,58.969,6.696,-2.118,58.878
-3.945,-1.994,64.351,-5.042,-2.216,64.314
-2.038,-2.016,67.404,-3.144,-2.114,67.401
1.619,-1.821,60.138,0.592,-2.186,60.229
2.215,-1.771,60.183,1.197,-2.143,60.037
5.722,-1.730,59.092,4.729,-1.967,58.999
0.601,-1.890,64.631,-0.460,-2.159,64.624
-1.384,-1.928,65.789,-2.416,-2.077,65.798
-0.565,-1.852,67.663,-1.722,-1.968,67.758
-4.172,-1.847,65.855,-5.310,-1.951,65.812
-3.923,-1.665,66.598,-5.015,-1.796,66.627
6.060,-1.650,58.354,5.089,-1.965,58.292
-1.399,-1.831,67.041,-2.524,-1.943,67.018
-2.730,-1.667,63.042,-3.813,-1.877,63.057
3.160,-1.699,61.228,2.172,-2.006,61.075
